alias_id,orf_id,alias
101,YJR076C,PSL9
102,YAL056W,KRH1
103,YGL245W,GSN1
104,YGL245W,GluRS
105,YHR156C,SNU40
106,YOR361C,CDC63
107,YOR361C,DNA26
108,YCL004W,PEL1
109,YCL004W,YCL003W
110,YAL038W,PYK1
111,YOR151C,B150
112,YOR151C,RPB150
113,YOR151C,RPO22
114,YOR151C,SIT2
115,YOR151C,SOH2
116,YOL120C,L18A
117,YOL120C,RP28A
118,YOL120C,rp28A
119,YOL120C,L18e
120,YOL120C,eL18
121,YHR010W,L27A
122,YHR010W,RPL27
123,YHR010W,L27e
124,YHR010W,eL27
125,YGL031C,L24A
126,YGL031C,L30A
127,YGL031C,YL21
128,YGL031C,RPL30A
129,YGL031C,rp29
130,YGL031C,L24e
131,YGL031C,eL24
132,YOR063W,L3
133,YOR063W,YL1
134,YOR063W,MAK8
135,YOR063W,TCM1
136,YOR063W,rp1
137,YOR063W,YOR29-14
138,YOR063W,uL3
139,YBR031W,L4A
140,YBR031W,rp2
141,YBR031W,L2A
142,YBR031W,YL2
143,YBR031W,L4
144,YBR031W,uL4
145,YGL076C,rp11
146,YGL076C,L30
147,YGL076C,L6A
148,YGL076C,L7A
149,YGL076C,YL8
150,YGL076C,uL30
151,YPL198W,RPL7B
152,YPL198W,rp11
153,YPL198W,L30
154,YPL198W,L6B
155,YPL198W,L7B
156,YPL198W,YL8
157,YPL198W,uL30
158,YDR025W,RPS11A
159,YDR025W,S11A
160,YDR025W,S18A
161,YDR025W,YS12
162,YDR025W,rp41A
163,YDR025W,S17
164,YDR025W,uS17
165,YHL025W,SNF6
166,YDL229W,SSB1
167,YDL229W,YG101
168,YNL209W,SSB2
169,YNL209W,YG103
170,YGR192C,TDH3
171,YGR192C,GLD1
172,YGR192C,HSP35
173,YGR192C,HSP36
174,YGR192C,SSS2
175,YGR192C,GAPDH
176,YGR192C,GPD
177,YML085C,TUB1
178,YOR089C,VPS21
179,YOR089C,VPS12
180,YOR089C,VPT12
181,YOR089C,YPT21
182,YOR089C,YPT51
183,YMR284W,YKU70
184,YMR284W,HDF1
185,YMR284W,NES24
186,YMR284W,KU70
187,YOL139C,CDC33
188,YOL139C,TIF45
189,YOL139C,eIF4E
190,YLR216C,CPR6
191,YLR216C,CYP40
192,YHR146W,CRP1
193,YOR204W,DED1
194,YOR204W,SPP81
195,YHR068W,DYS1
196,YGR254W,ENO1
197,YGR254W,HSP48
198,YHR174W,ENO2
199,YMR186W,HSC82
200,YMR186W,HSP90
201,YML056C,IMD4
202,YDL051W,LHP1
203,YDL051W,LAH1
204,YDL051W,YLA1
205,YIL070C,MAM33
206,YOR298C-A,MBF1
207,YOR298C-A,SUF13
208,YKL009W,MRT4
209,YKR048C,NAP1
210,YPR052C,NHP6A
211,YBR089C-A,NHP6B
212,YBR089C-A,YBR090C-A
213,YDL014W,NOP1
214,YDL014W,LOT3
215,YDL213C,NOP6
216,YGR159C,NSR1
217,YGR159C,SHE5
218,YER165W,PAB1
219,YCR012W,PGK1
220,YLR196W,PWP1
221,YCR028C-A,RIM1
222,YPR102C,RPL11A
223,YPR102C,L11A
224,YPR102C,L16B
225,YPR102C,L5
226,YPR102C,YL22
227,YPR102C,rp39A
228,YPR102C,uL5
229,YDL082W,L13A
230,YDL082W,L13e
231,YDL082W,eL13
232,YDL082W,L22A
233,YLR061W,YL31
234,YLR061W,l1c
235,YLR061W,rp4
236,YLR061W,L22e
237,YLR061W,eL22
238,YFL034C-A,L22B
239,YFL034C-A,YFL035C-B
240,YFL034C-A,YL31
241,YFL034C-A,l1c
242,YFL034C-A,rp4
243,YFL034C-A,L22e
244,YFL034C-A,eL22
245,YLR344W,L30
246,YLR344W,L31
247,YLR344W,YL38
248,YLR344W,rp73
249,YLR344W,L30e
250,YLR344W,eL30
251,YLR344W,RPL30
252,YGL030W,eL30
253,YGL030W,L30e
254,YGL030W,rp73
255,YGL030W,YL38
256,YGL030W,L32
257,YGL030W,L30
258,YGL030W,RPL30
259,YDL075W,L31A
260,YDL075W,L34A
261,YDL075W,RPL34
262,YDL075W,YL28
263,YDL075W,L31e
264,YDL075W,eL31
265,YDL075W,RPL31A
266,YLR325C,L38
267,YLR325C,L38e
268,YLR325C,eL38
269,YLR325C,RPL38
270,YPL131W,YL3
271,YPL131W,L1a
272,YPL131W,L5
273,YPL131W,LPI14
274,YPL131W,RPL1
275,YPL131W,L18
276,YPL131W,YL3
277,YPL131W,RPL5
278,YLR448W,L17B
279,YLR448W,L6B
280,YLR448W,YL16
281,YLR448W,rp18
282,YLR448W,L6e
283,YLR448W,eL6
284,YLR448W,RPL6B
285,YLL045C,eL8
286,YLL045C,SCL41
287,YLL045C,KRB1
288,YLL045C,L8B
289,YLL045C,L4B
290,YLL045C,L8e
291,YLL045C,rp6
292,YLL045C,YL5
293,YLL045C,RPL8B
294,YLR340W,A0
295,YLR340W,L10E
296,YLR340W,P0
297,YLR340W,RPL10E
298,YLR340W,uL10
299,YLR340W,RPP0
300,YDL130W,YP1beta
301,YDL130W,P1B
302,YDL130W,L44
303,YDL130W,Ax
304,YDL130W,RPLA3
305,YDL130W,RPL44
306,YDL130W,RPP1B
307,YDR382W,RPL45
308,YDR382W,YPA1
309,YDR382W,L45
310,YDR382W,P2B
311,YDR382W,YP2beta
312,YDR382W,RPP2B
313,YOL121C,S16aA
314,YOL121C,S19A
315,YOL121C,YS16A
316,YOL121C,rp55a
317,YOL121C,S19e
318,YOL121C,eS19
319,YOL121C,RPS19A
320,YJL190C,S22A
321,YJL190C,S24A
322,YJL190C,YS22
323,YJL190C,rp50
324,YJL190C,RPS24
325,YJL190C,S8
326,YJL190C,uS8
327,YJL190C,RPS22A
328,YOR167C,RPS33A
329,YOR167C,S28A
330,YOR167C,S33A
331,YOR167C,YS27
332,YOR167C,eS28
333,YOR167C,S28e
334,YOR167C,RPS28A
335,YJR123W,S28e
336,YJR123W,eS28
337,YJR123W,YS27
338,YJR123W,S33A
339,YJR123W,S28A
340,YJR123W,RPS33A
341,YJR123W,RPS28A
342,YOR096W,S7A
343,YOR096W,rp30
344,YOR096W,RPS30
345,YOR096W,S7e
346,YOR096W,eS7
347,YOR096W,RPS7A
348,YMR131C,RRB1
349,YHL034C,SSBR1
350,YHL034C,SSB1
351,YHL034C,SBP1
352,YBR263W,TMP3
353,YBR263W,SHM1
354,YJR045C,ENS1
355,YJR045C,mtHSP70
356,YJR045C,SSC1
357,YPL106C,MSI3
358,YPL106C,LPG3
359,YPL106C,SSE1
360,YMR146C,TIF34
361,YEL020W-A,TIM9
362,YDR381W,SHE11
363,YDR381W,YRA1
364,YNL245C,CWC25
365,YDR432W,NPL3
366,YGL026C,TRP5
